Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.09592913111366E-05,3.50953248980184E-06,-0.106018505249408,0,0,0,1.27828364782122,0.0130836184409299,-1.83858920537279E-06,-7.38672307685529E-07,0.0130344292609687,1.23687123986165E-07,0.00645240733335972,0,0,0,0,0,0,package://pend_balc/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pend_balc/meshes/base_link.STL,,ak80-64.stp-1;Motor Mount-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0301520938840052,0.00574127526261402,-0.244186231517048,0,0,0,0.531173920073746,0.00153298725990724,4.56827199914057E-09,-2.23504809922894E-07,0.00156021419392432,3.15177209459972E-05,0.000220239352006378,0,0,0,0,0,0,package://pend_balc/meshes/Link1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://pend_balc/meshes/Link1.STL,,Rod-Horizontal-1;Sensor-1/Part8^Sensor-1;Part4-1;KFL002-1;Shaft-1;Sensor-1/Part7^Sensor-1,CS_Joint1,Axis_Joint1,Joint1,revolute,0,0,0.00575,1.6058,-1.5708,0,base_link,1,0,0,48,5.02,0,0,,,,,,,,
Link2,7.12498963484354E-06,0.134723718011967,4.1480123155746E-11,0,0,0,0.0695633295839153,0.000427377358124669,6.24770748344296E-09,1.68762886762594E-14,1.04795791793258E-05,-4.05416456980495E-14,0.000427230355689081,0,0,0,0,0,0,package://pend_balc/meshes/Link2.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://pend_balc/meshes/Link2.STL,,rod-1;Part10-1,CS_Joint2,Axis_Joint2,Joint2,revolute,0.04625,0.0079902,-0.33991,-3.1416,1.5473,1.5708,Link1,1,0,0,0,0,0,0,,,,,,,,
